Filmtitel,Szenen-ID,Szenenbeschreibung,Drehort,Drehortbeschreibung,Breitengrad (Drehort),Längengrad (Drehort),Szenenort,Breitengrad (Szenenort), Längengrad (Szenenort),Zeit im Film (sek),Zeit (chronologisch),Figuren,Links,Quelle,Anmerkung,
Endgame,A4-46,"Thanos erscheint auf dem Schlachtfeld und 
trifft auf Nebula(2014). Gomora(2014) 
beobachtet die beiden von Thanos Schiff. ","Trilith Studios.
461 Sandy Creek Rd, 
Fayetteville, GA 30214, 
Vereinigte Staaten ?","Amerikanisches Film- und 
Fernsehproduktionsstudio südlich 
von Atlanta in Fayette County, 
Georgia.",33.47400763797590,-84.51239895398115,"Zerstörtes Avengers HQ 
“Upstate New York”",null,null,02:04:59,2023,Gomora(2014)/ Nebula(2014)/ Thanos,,,,
Endgame,A4-47,"Nebula(2023) erzählt Gomora von ihrer 
gemeinsamen Zukunft. Gomora hilft den 
Avengers, Thanos aufzuhalten.","Trilith Studios.
461 Sandy Creek Rd, 
Fayetteville, GA 30214, 
Vereinigte Staaten ?","Amerikanisches Film- und 
Fernsehproduktionsstudio südlich 
von Atlanta in Fayette County, 
Georgia.",33.47400763797591,-84.51239895398116,Thanos Schiff,null,null,02:05:52,2023,Gomora(2014)/ Nebula(2023),,,,
Endgame,A4-48,"Steve, Thor und Tony treten aus dem 
zerstörten Avengers HQ heraus und stehen 
Thanos gegenüber. Die drei Avenger 
beginnen den Kampf gegen Thanos. ","Trilith Studios.
461 Sandy Creek Rd, 
Fayetteville, GA 30214, 
Vereinigte Staaten ?","Amerikanisches Film- und 
Fernsehproduktionsstudio südlich 
von Atlanta in Fayette County, 
Georgia.",33.47400763797592,-84.51239895398117,"Zerstörtes Avengers HQ 
“Upstate New York”",null,null,02:06:45,2023,"Steve Rogers als Captain America/ Thanos/ Thor/ 
Tony Stark als Ironman ",,,,
Endgame,A4-49,Scott eilt zur Rettung. ,"Trilith Studios.
461 Sandy Creek Rd, 
Fayetteville, GA 30214, 
Vereinigte Staaten ?","Amerikanisches Film- und 
Fernsehproduktionsstudio südlich 
von Atlanta in Fayette County, 
Georgia.",33.47400763797593,-84.51239895398118,"Zerstörtes Avengers HQ 
“Upstate New York”",null,null,02:09:43,2023,"Bruce Banner als Hulk Banner/  
James Rodes als War Machine/ Rocket/ 
Scott Lang als Antman/ ",,,,
Endgame,A4-50,"Clint flüchtet und entkommt vor Thanos 
""Jagdhuden"". Nebula(2014) legt ihn herein 
und nimmt ihm den Infinity-Handschuh ab. 
Nach einem vergeblichen Versuch, 
Nebula(2014) auf die Seite der Avenger 
zubringen, bringt Nebula(2023) ihre 
Doppelgängerin um, um ihre Schwester 
zu retten.","Trilith Studios.
461 Sandy Creek Rd, 
Fayetteville, GA 30214, 
Vereinigte Staaten ?","Amerikanisches Film- und 
Fernsehproduktionsstudio südlich 
von Atlanta in Fayette County, 
Georgia.",33.47400763797594,-84.51239895398119,"Zerstörtes Avengers HQ 
“Upstate New York”",null,null,02:10:00,2023,"Clint Barton als Ronin/ Gomora(2014)/ Nebula(2023)/ 
Nebula(2014)",,,,
Endgame,A4-51,"Steve, Thor und Tony kämpfen weiterhin 
gegen Thanos, wobei Thanos den Kampf 
dominiert. Steve benutzt Mjölnir, weiter 
gegen Thaos zu kämpfen.  ","Trilith Studios.
461 Sandy Creek Rd, 
Fayetteville, GA 30214, 
Vereinigte Staaten ?","Amerikanisches Film- und 
Fernsehproduktionsstudio südlich 
von Atlanta in Fayette County, 
Georgia.",33.47400763797595,-84.51239895398120,"Zerstörtes Avengers HQ 
“Upstate New York”",null,null,02:11:56,2023,"Steve Rogers als Captain America/ Thanos/ 
Thor/ Tony Stark als Ironman/",,,,
Endgame,A4-52,"Thanos ruft seine Armee auf das 
Schlachtfeld. Steve steht Thanos und seiner 
Armee gegenüber, woraufhin sich mehrere 
Portale hinter ihm Öffnen. Dr. Strange und 
die wiederbelebten Avengers, sowie die 
wiederbelebte Armee der Menschheit 
treten durch die Portale und stürmen auf 
die Armee von Thanos zu. ","Trilith Studios.
461 Sandy Creek Rd, 
Fayetteville, GA 30214, 
Vereinigte Staaten ?","Amerikanisches Film- und 
Fernsehproduktionsstudio südlich 
von Atlanta in Fayette County, 
Georgia.",33.47400763797596,-84.51239895398121,"Zerstörtes Avengers HQ 
“Upstate New York”",null,null,02:15:05,2023,"Bruce Banner als Hulk Banner/ Brunhilde als Valkyrie/ 
Bucky Barns als Winter Soldier/ Corvus Glaive/ 
Cull Obsidian/ Drax/ Ebony Maw/ Groot/ 
Hope van Dyne als Wasp/ James Rhodes als War Machine/ 
Korg/ Mantis/ Miek/ Okoye/ Peter Parker als Spiderman/ 
Peter Quill als Star Lord/ Pepper Potts als Rescue/ 
Proxima Midnight/ Rocket/ Sam Willson als Falcon/ 
Scott Lang als Antman/ Shuri/ 
Steve Rogers als Captain America/ 
Stephen Strange als Dr. Strange/
T'Challa als Black Panther/Thor/ 
Tony Stark als Ironman/ 
Wanda Maximoff als Scarlett Witch/ Wong",,,,
Endgame,A4-53,"Tony wird während der Schlacht von 
Cull Obsidian niedergeschlagen, jedoch 
kommen Scott und Peter Parker zur rettung. 
Tony umarmt, den verwirrten Peter Parker. ","Trilith Studios.
461 Sandy Creek Rd, 
Fayetteville, GA 30214, 
Vereinigte Staaten ?","Amerikanisches Film- und 
Fernsehproduktionsstudio südlich 
von Atlanta in Fayette County, 
Georgia.",33.47400763797597,-84.51239895398122,"Zerstörtes Avengers HQ 
“Upstate New York”",null,null,02:19:19,2023,"Bucky Barns als Winter Soldier/ Cull Obsidian/ Mantis/ 
Rocket/ Scott Lang als Antman/ 
Peter Parker als Spiderman/ 
Steve Rogers als Captain America/ Thor/
Tony Stark als Ironman/ ",,,,
Endgame,A4-54,"Peter Quill wird von Gomora auf dem 
Schlatfeld gerettet. Er berührt ihr Gesicht 
und bekommt zwei Kniehiebe in den Schritt. ","Trilith Studios.
461 Sandy Creek Rd, 
Fayetteville, GA 30214, 
Vereinigte Staaten ?","Amerikanisches Film- und 
Fernsehproduktionsstudio südlich 
von Atlanta in Fayette County, 
Georgia.",33.47400763797598,-84.51239895398123,"Zerstörtes Avengers HQ 
“Upstate New York”",null,null,02:20:05,2023,Gomora/ Korg/ Nebula/ Peter Quill als Star Lord/ ,,,,
Endgame,A4-55,"Die Avengers versuchen die Infinity-Steine 
zurück in die Vergangenheit zu bringen, 
damit Thanos diese nicht in die Hände 
bekommt. ","Trilith Studios.
461 Sandy Creek Rd, 
Fayetteville, GA 30214, 
Vereinigte Staaten ?","Amerikanisches Film- und 
Fernsehproduktionsstudio südlich 
von Atlanta in Fayette County, 
Georgia.",33.47400763797599,-84.51239895398124,"Zerstörtes Avengers HQ 
“Upstate New York”",null,null,02:21:02,2023,"Bruce Banner als Hulk Banner/ Brunhilde als Valkyrie/ 
Clint Barton als Ronin/ Hope van Dyne als Wasp/
Sam Willson als Falcon/ Scott Lang als Antman/ 
Steve Rogers als Captain America/ Tony Stark als Ironman ",,,,
Endgame,A4-56,"Die Avengers transportieren den 
Infinity-Handschuh über das Schlachtfeld 
und weichen Thanos Truppen aus. Wanda 
sieht Thanos auf dem Schlachtfeld und 
versucht ihn zu töten. Thanos befiehlt, 
ohne Rücksicht mit seinem Raumschiff 
auf das Schlachtfeld zu schießen. Peter 
Parker, welcher den Handschuh bei sich hat, 
befindet sich unter direktem Beschuss. ","Trilith Studios.
461 Sandy Creek Rd, 
Fayetteville, GA 30214, 
Vereinigte Staaten ?","Amerikanisches Film- und 
Fernsehproduktionsstudio südlich 
von Atlanta in Fayette County, 
Georgia.",33.47400763797600,-84.51239895398125,"Zerstörtes Avengers HQ 
“Upstate New York”",null,null,02:21:55,2023,"Bruce Banner als Hulk Banner/ 
Bucky Barns als Winter Soldier/ Brunhilde als Valkyrie/ 
Corvus Glaive/ Clint Barton als Ronin/ Ebony Maw/ 
Groot/ Korg/ Pepper Pots als Rescue/ 
Peter Parker als Spiderman/ 
Stephen Strange als Dr. Strange/ 
Tony Stark als Ironman/ Hope van Dyne als Wasp/ 
Rocket/ Scott Lang als Antman/ 
Steve Rogers als Captain America/
T'Challa als Black Panther/ Thanos/ 
Wanda Maximoff als Scarlett Witch/ ",,,,
Endgame,A4-57,"Carol fliegt direkt auf das Raumschiff von 
Thanos zu und zerstört es.","Trilith Studios.
461 Sandy Creek Rd, 
Fayetteville, GA 30214, 
Vereinigte Staaten ?","Amerikanisches Film- und 
Fernsehproduktionsstudio südlich 
von Atlanta in Fayette County, 
Georgia.",33.47400763797601,-84.51239895398126,"Zerstörtes Avengers HQ 
“Upstate New York”",null,null,02:25:21,2023,"Carol Denvers als Captain Marvel/ Groot/ Rocket/ 
Steve Rogers als Captain America/ Thanos/ 
Tony Stark als Ironman ",,,,
Endgame,A4-58,"Carol nimmt den Infinity-Handschuh von 
Peter und mit Hilfe der anderen Avenger 
schaffte sie es fast, den Van von Scott zu 
erreichen. Thanos wirft in der letzten 
Sekunde seine Gläve in den Van und bringt 
ihn zum explodieren. Alle Anwesenden 
werden von der Druckwelle zurückgeworfen, 
inklusive des Handschuhs.  ","Trilith Studios.
461 Sandy Creek Rd, 
Fayetteville, GA 30214, 
Vereinigte Staaten ?","Amerikanisches Film- und 
Fernsehproduktionsstudio südlich 
von Atlanta in Fayette County, 
Georgia.",33.47400763797602,-84.51239895398127,"Zerstörtes Avengers HQ 
“Upstate New York”",null,null,02:26:41,2023,"Brunhilde als Valkyrie/ Carol Denvers als Captain Marvel/ 
Corvus Glaive/ Gomora/ Hope van Dyne als Wasp/ Mantis/ 
Nebula/ Okoye/ Pepper Potts als Rescue/ Proxima Midnight/ 
Scott Lang als Antman/ Shuri/ Stephen Strange als Dr. Strange/ 
Thanos/ Wanda Maximoff als Scarlett Witch/ ",,,,
Endgame,A4-59,"Nachdem Thanos in einem Nahkampf mit 
den Avengern, den Infinity-Handschuh 
bekommen hat stehlt Tony die Infintiy-Steine 
von dem Handschuh und benutzt diese um 
Thanos und seine Untergebenen zu dezimieren. ","Trilith Studios.
461 Sandy Creek Rd, 
Fayetteville, GA 30214, 
Vereinigte Staaten ?","Amerikanisches Film- und 
Fernsehproduktionsstudio südlich 
von Atlanta in Fayette County, 
Georgia.",33.47400763797603,-84.51239895398128,"Zerstörtes Avengers HQ 
“Upstate New York”",null,null,02:28:09,2023,"Carol Denvers als Captain Marvel/
Steve Rogers als Captain America/ 
Stephen Strange als Dr. Strange/ Thanos/ Thor/  
Tony Stark als Ironman/ ",,,,
Endgame,A4-60,"*Spoiler*
Tonys dezimiert Thanos und seine Armee bis 
zur letzen Person, wodurch er jedoch stirbt. ","Trilith Studios.
461 Sandy Creek Rd, 
Fayetteville, GA 30214, 
Vereinigte Staaten ?","Amerikanisches Film- und 
Fernsehproduktionsstudio südlich 
von Atlanta in Fayette County, 
Georgia.",33.47400763797604,-84.51239895398129,"Zerstörtes Avengers HQ 
“Upstate New York”",null,null,02:30:30,2023,"Ebony Maw/ James Rhodes als War Machine/ 
Peter Parker als Spiderman/ Pepper Pots als Rescue/ 
Peter Quinn als Star Lord/ Proxima Midnight/ Rocket/ 
Steve Rogers als Captain America/ T'Challa als Black Panther/ 
Thanos/ Thor/ Tony Stark als Ironman/  ",,,,
Endgame,A4-61,"Fast alle Anwesenden der der Schlacht kehren 
zu ihrem normalen Leben zurück. ","Christopher Farms and Fertilizer.
856 Christopher Rd 
Sharpsburg, GA 30277
","Christopher Farms and Fertilizer, 
Privates Anwesen,
westlich vom Lake McIntosh
in Sharpsburg, GA 30277
",33.36652536163343,-84.60400411599839,Barton Farm,33.36652536163343,-84.60400411599839,02:34:40,2023,"Cassie Lang/ Clint Barton/ Cooper Barton/ Hope van Dyne/
Laura Barton/ Lila Barton/ Nathaniel Pietro Barton Ned Leeds/ 
Peter Parker/ Ramonda/ Scott Lang/ Shuri/ T'Challa/",,,,
Endgame,A4-62,"Fast alle Anwesenden der der Schlacht kehren 
zu ihrem normalen Leben zurück. ","840 Clemont Dr NE.
Atlanta, GA 30306
USA
",Wohngebiet in Atlanta ,33.78354564440492,-84.35991668841275,"Maggie Lang House,
San Francisco",null,null,02:34:40,2023,"Cassie Lang/ Clint Barton/ Cooper Barton/ Hope van Dyne/
Laura Barton/ Lila Barton/ Nathaniel Pietro Barton Ned Leeds/ 
Peter Parker/ Ramonda/ Scott Lang/ Shuri/ T'Challa/",,,,
Endgame,A4-63,"Fast alle Anwesenden der der Schlacht kehren 
zu ihrem normalen Leben zurück. ",null ,Highschool,null ,null ,"Midtown High School for 
Science & Technology",null ,null ,02:34:40,2023,"Cassie Lang/ Clint Barton/ Cooper Barton/ Hope van Dyne/
Laura Barton/ Lila Barton/ Nathaniel Pietro Barton Ned Leeds/ 
Peter Parker/ Ramonda/ Scott Lang/ Shuri/ T'Challa/",,,,
Endgame,A4-64,"Tonys Familie und Freunde hören seine 
Abschiedsbotschaft nach seiner Beerdigung. 
Sein künstliches Herz wird mit seinem 
Blumenstrauß auf den See gelegt.","Fairburn, Georgia, 
Vereinigte Staaten","Eine Holzhütte am See in Fairburn 
Georgia",33.6429482613836,-84.70646009325237,"Tony Starks Hütte am 
See ",33.6429482613836,-84.70646009325237,02:36:20,2023,"Bucky Barnes/ Bruce Banner als Hulk Banner/Carol Danvers/ 
Clint Barton/ Cooper Barton
/ Drax/ Groot/ Hank Pym/ Happy Hogan/ Harley Keener/ 
Hope van Dyne/ James Rhodes/ Janet van Dyne/ Laura Barton/ 
Lila Barton/ Maria Hill/ May Parker/ Morgan Stark/ 
Nathaniel Barton/ Nebula/ Nick Fury
/ Okoye/ Pepper Pots/ Peter Parker/ Peter Quill/ Rocket/ 
Sam Wilson/ Scott Lang/ Steve Rogers Stephen Strange/ 
Shuri/ T'Challa/Thaddeus Ross/  Thor/ Wanda Maximoff/ Wong/ ",,,,
Endgame,A4-65,"Clint und Wanda, reden über den Verlust von 
Natascha und Vision. Happy und Morgen 
unterhalten sich über Cheeseburger. ","Fairburn, Georgia, 
Vereinigte Staaten","Eine Holzhütte am See in Fairburn 
Georgia",33.6429482613837,-84.70646009325238,"Tony Starks Hütte am 
See ",33.6429482613837,-84.70646009325238,02:39:02,2023,Clint Barton/ Happy Hogan/ Morgan Stark/ Wanda Maximoff,,,,
Endgame,A4-66,"Thor ernennt Brunhilde zur neuen Königin von 
Neu Asgard. ","St Abbs, Eyemouth TD14 5PL, 
United Kingdom",St. Abbs,55.89908377159758,-2.1299200907160767,Neu Asgard/ Tonsberg,55.89908377159758,-2.1299200907160767,02:40:19,2023,Brunhilde/Rocket/ Thor/  ,,,,
Endgame,A4-67,"Thor, das neues Mitglied der Gurdians of the 
Galaxy, begleitet Peter durch das All.","Trilith Studios.
461 Sandy Creek Rd, 
Fayetteville, GA 30214, 
Vereinigte Staaten ?","Amerikanisches Film- und 
Fernsehproduktionsstudio südlich 
von Atlanta in Fayette County, 
Georgia.",33.47400763797583,-84.51239895398108,"Die Benatar 
(Schiff der Gurdians 
of the Galaxy), gelandet 
in Neu Asgard",55.89908377159759,-2.1299200907160768,02:41:35,2023,Drax/ Groot/ Mantis/ Nebula/ Peter Quill/ Rocket/ Thor/ ,,,,
Endgame,A4-68,"Steve bringt die geliehenen Infinity-Steine 
zurück in die Vergangenheit, jedoch kehrt er 
nicht zurück und lebt ein Leben, gemeinsam 
mit seiner Frau Peggy. Der nun alte Steve 
Rogers ernnent Sam zum neuen Captain America.","Fairburn, Georgia, 
Vereinigte Staaten","Zerstörtes Avengers HQ 
“Upstate New York”",33.6429482613837,-84.70646009325238,"Zerstörtes Avengers HQ 
“Upstate New York”",null,null,02:43:03,2023,"Bucky Barnes/ Bruce Banner als Hulk Banner/ Sam Wilson/ 
Steve Rogers als Captain America & Old Steve Rogers/ ",,,,
Endgame,A4-69,"Steve besucht Peggy und füllt sein Versprechen 
ein, ein letztes mal mit ihr zu tanzen.","1340 Metropolitan Ave SE,
Atlanta, GA 30316",Wohngebiet in Atlanta ,33.74347691299071,-84.34369479631123,Peggy Carters Haus ,null,null,02:48:07,1950er,Peggy Carter/ Steve Rogers ,,,,
